col,row,left_sig,right_sig,top_sig,bottom_sig
6,11,3ded79beb55f4d49,38723a2e5e8a17aa,fdef411c641e98ee,8d91d7b7e045dc2f
7,11,38723a2e5e8a17aa,3ded79beb55f4d49,f97eb1b929a76a01,c25aaf74ada89ce2
8,11,e71dfc1486658a0a,91a21dcfbabadd0d,d8e26b09d984d5d5,bd6c78bff83497bb
9,11,99f4c50090bc0ae9,bb2c6c10924f3419,1964f06d49d08100,3376f3a0c766d1c3
10,11,2e7aefde71913830,9bb948a46f9c3f48,38723a2e5e8a17aa,a31951cd0f1f6bdc
11,11,38723a2e5e8a17aa,38723a2e5e8a17aa,9a98d554848cd587,38723a2e5e8a17aa
12,11,904b909560fcf70c,f97eb1b929a76a01,38723a2e5e8a17aa,3ded79beb55f4d49
13,11,e6144fb52f06c66b,e6144fb52f06c66b,38723a2e5e8a17aa,3ded79beb55f4d49
14,11,3ded79beb55f4d49,38723a2e5e8a17aa,fdef411c641e98ee,8d91d7b7e045dc2f
15,11,38723a2e5e8a17aa,3ded79beb55f4d49,f97eb1b929a76a01,c25aaf74ada89ce2
0,12,e71dfc1486658a0a,91a21dcfbabadd0d,d8e26b09d984d5d5,bd6c78bff83497bb
1,12,99f4c50090bc0ae9,bb2c6c10924f3419,1964f06d49d08100,3376f3a0c766d1c3
2,12,2e7aefde71913830,9bb948a46f9c3f48,38723a2e5e8a17aa,a31951cd0f1f6bdc
3,12,38723a2e5e8a17aa,38723a2e5e8a17aa,9a98d554848cd587,38723a2e5e8a17aa
4,12,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
5,12,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
6,12,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
7,12,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
8,12,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
9,12,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
10,12,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
11,12,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
12,12,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
13,12,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
14,12,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
15,12,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
0,13,c0745787b95d5588,38723a2e5e8a17aa,82f5fa9e485687c0,38723a2e5e8a17aa
1,13,2e7aefde71913830,9bb948a46f9c3f48,38723a2e5e8a17aa,a31951cd0f1f6bdc
2,13,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
3,13,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
4,13,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
5,13,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
6,13,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
7,13,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
8,13,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
9,13,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,c6acd56e6af24bb6
10,13,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
11,13,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
12,13,c0745787b95d5588,38723a2e5e8a17aa,82f5fa9e485687c0,38723a2e5e8a17aa
13,13,2e7aefde71913830,9bb948a46f9c3f48,38723a2e5e8a17aa,a31951cd0f1f6bdc
14,13,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
15,13,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
0,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
1,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
2,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
3,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
4,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
5,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,c6acd56e6af24bb6
6,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
7,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
8,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
9,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
10,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
11,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
12,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
13,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
14,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
15,14,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
0,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
1,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
2,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
3,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
4,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
5,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
6,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
7,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
8,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
9,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
10,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
11,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
12,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
13,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
14,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
15,15,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
